Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,173,12,T:System.CommandLine.Command,,,,,"Command commandRecoveryManagerResolveMappingIssues = new Command(""resolve-mapping-issues"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  },                  new Option<string>(new []{""--resolution-type"", ""-y""}, ""The mapping difference resolution type. Supported options are 'KeepShardMapMapping' for global shard map (GSM) and 'KeepShardMapping' for local shard map (LSM). It's recommended to use 'KeepShardMapping'."")                  {                      IsRequired = true,                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,173,12,"M:System.CommandLine.Command.#ctor(System.String,System.String)",,,,,"Command commandRecoveryManagerResolveMappingIssues = new Command(""resolve-mapping-issues"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  },                  new Option<string>(new []{""--resolution-type"", ""-y""}, ""The mapping difference resolution type. Supported options are 'KeepShardMapMapping' for global shard map (GSM) and 'KeepShardMapping' for local shard map (LSM). It's recommended to use 'KeepShardMapping'."")                  {                      IsRequired = true,                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,171,12,M:System.CommandLine.Command.AddCommand(System.CommandLine.Command),,,,,commandRecoveryManager.AddCommand(commandRecoveryManagerDetechMappingIssues);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,170,12,T:System.CommandLine.NamingConventionBinder.CommandHandler,,,,,"commandRecoveryManagerDetechMappingIssues.Handler = CommandHandler.Create<RecoveryOptions, IHost>(RecoveryManagerCommandDetectMappingIssues);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,170,12,T:System.CommandLine.Invocation.ICommandHandler,,,,,"commandRecoveryManagerDetechMappingIssues.Handler = CommandHandler.Create<RecoveryOptions, IHost>(RecoveryManagerCommandDetectMappingIssues);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,170,12,T:System.CommandLine.Invocation.ICommandHandler,,,,,"commandRecoveryManagerDetechMappingIssues.Handler = CommandHandler.Create<RecoveryOptions, IHost>(RecoveryManagerCommandDetectMappingIssues);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,170,12,P:System.CommandLine.Command.Handler,,,,,"commandRecoveryManagerDetechMappingIssues.Handler = CommandHandler.Create<RecoveryOptions, IHost>(RecoveryManagerCommandDetectMappingIssues);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,162,12,P:System.CommandLine.Option.IsRequired,,,,,"Command commandRecoveryManagerDetechMappingIssues = new Command(""detect-mapping-issues"", ""Gets a shard maps (either local or global) as the source of truth and reconciles mappings on both shard maps (GSM and LSM)."") {                  new Option<int[]>(new[] { ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,162,12,P:System.CommandLine.Option.AllowMultipleArgumentsPerToken,,,,,"Command commandRecoveryManagerDetechMappingIssues = new Command(""detect-mapping-issues"", ""Gets a shard maps (either local or global) as the source of truth and reconciles mappings on both shard maps (GSM and LSM)."") {                  new Option<int[]>(new[] { ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,162,12,T:System.CommandLine.ArgumentArity,,,,,"Command commandRecoveryManagerDetechMappingIssues = new Command(""detect-mapping-issues"", ""Gets a shard maps (either local or global) as the source of truth and reconciles mappings on both shard maps (GSM and LSM)."") {                  new Option<int[]>(new[] { ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
